year,region,farmer,farmer_gender,fertilizer_treatment,code,mission_number,date_surveyed,ose_count,temperature,percent_ground_cover,ose_damage_percent,yield_date_havested,rendement_en_kg_ha
2021,Kaffrine,02.58,M,fertilized,02-58-01.,2,August 30th toseptember 4th,30,26,85,6,October 20th to 31th,1040
2021,Kaffrine,02.58,M,fertilized,02-58-01.,3,September 28th to october 5th,12,26,85,0,October 20th to 31th,1040
2021,Kaffrine,02.59,M,control,02-59-00.,1,July 27th to august 3th,42,35,75,8,October 20th to 31th,240
2021,Kaffrine,02.59,M,control,02-59-00.,2,August 30th toseptember 4th,26,33,75,4,October 20th to 31th,240
2021,Kaffrine,02.59,M,control,02-59-00.,3,September 28th to october 5th,36,26,75,0,October 20th to 31th,240
2021,Kaffrine,02.59,M,fertilized,02-59-01.,1,July 27th to august 3th,30,34,70,7,October 20th to 31th,320
2021,Kaffrine,02.59,M,fertilized,02-59-01.,2,August 30th toseptember 4th,20,33,80,0,October 20th to 31th,320
2021,Kaffrine,02.59,M,fertilized,02-59-01.,3,September 28th to october 5th,21,26,80,0,October 20th to 31th,320
2021,Kaffrine,02.60,M,control,02-60-00,1,July 27th to august 3th,40,28,50,3,October 20th to 31th,255
2021,Kaffrine,02.60,M,control,02-60-00,2,August 30th toseptember 4th,26,28,50,2,October 20th to 31th,255
2021,Kaffrine,02.60,M,control,02-60-00,3,September 28th to october 5th,65,29,70,2,October 20th to 31th,255
2021,Kaffrine,02.60,M,fertilized,02-60-01,1,July 27th to august 3th,60,26,50,5,October 20th to 31th,510
2021,Kaffrine,02.60,M,fertilized,02-60-01,2,August 30th toseptember 4th,38,26,50,5,October 20th to 31th,510
2021,Kaffrine,02.60,M,fertilized,02-60-01,3,September 28th to october 5th,21,28,60,0,October 20th to 31th,510
2021,Kaffrine,02.61,M,control,02-61-00,1,July 27th to august 3th,16,26,20,1,October 20th to 31th,1400
2021,Kaffrine,02.61,M,control,02-61-00,2,August 30th toseptember 4th,11,31,20,0,October 20th to 31th,1400
2021,Kaffrine,02.61,M,control,02-61-00,3,September 28th to october 5th,53,26,45,0,October 20th to 31th,1400
2021,Kaffrine,02.61,M,fertilized,02-61-01,1,July 27th to august 3th,28,26,20,2,October 20th to 31th,2000
2021,Kaffrine,02.61,M,fertilized,02-61-01,2,August 30th toseptember 4th,18,32,20,0,October 20th to 31th,2000
2021,Kaffrine,02.61,M,fertilized,02-61-01,3,September 28th to october 5th,19,26,60,0,October 20th to 31th,2000
2021,Kaffrine,02.62,M,control,02-62-00,1,July 27th to august 3th,12,29,20,0,October 20th to 31th,250
2021,Kaffrine,02.62,M,control,02-62-00,2,August 30th toseptember 4th,8,32,20,0,October 20th to 31th,250
2021,Kaffrine,02.62,M,control,02-62-00,3,September 28th to october 5th,62,27,65,5,October 20th to 31th,250
2021,Kaffrine,02.62,M,fertilized,02-62-01,1,July 27th to august 3th,14,29,20,0,October 20th to 31th,700
2021,Kaffrine,02.62,M,fertilized,02-62-01,2,August 30th toseptember 4th,7,30,20,0,October 20th to 31th,700
2021,Kaffrine,02.62,M,fertilized,02-62-01,3,September 28th to october 5th,8,27,70,0,October 20th to 31th,700
2021,Kaffrine,02.63,M,control,02-63-00,1,July 27th to august 3th,32,31,15,5,October 20th to 31th,644
2021,Kaffrine,02.63,M,control,02-63-00,2,August 30th toseptember 4th,21,31,15,0,October 20th to 31th,644
2021,Kaffrine,02.63,M,control,02-63-00,3,September 28th to october 5th,53,31,50,0,October 20th to 31th,644
2021,Kaffrine,02.63,M,fertilized,02-63-01,1,July 27th to august 3th,18,31,15,3,October 20th to 31th,1080
2021,Kaffrine,02.63,M,fertilized,02-63-01,2,August 30th toseptember 4th,12,32,15,0,October 20th to 31th,1080
2021,Kaffrine,02.63,M,fertilized,02-63-01,3,September 28th to october 5th,10,38,60,0,October 20th to 31th,1080
2021,Kaffrine,02.64,M,control,02-64-00,1,July 27th to august 3th,32,27,15,6,October 20th to 31th,155
2021,Kaffrine,02.64,M,control,02-64-00,2,August 30th toseptember 4th,21,30,15,0,October 20th to 31th,155
2021,Kaffrine,02.64,M,control,02-64-00,3,September 28th to october 5th,62,26,70,3,October 20th to 31th,155
